,rooms,age,direction,priceNum,priceLbl,area,location,gfa,cfa
0,3房,30 年,,"1,148",万,沙田,新城市广场 3期 蕙兰阁 (3座) 15楼 G室,648,763
1,2房,11 年,,789,万,元朗站,YOHO TOWN 2期 YOHO MIDTOWN 2座 27楼 B室,475,621
2,2房,20 年,西北,629.8,万,元朗站,采叶庭 16座 1楼 C室,509,673
3,,50 年,,500,万,荃湾市中心,佑建楼 二楼 2室,746,
4,2房,38 年,西南,726,万,绿杨,绿杨新邨 L座 27楼 7室,445,511
5,,4 年,,402.88,万,马鞍山,荟朗 1座 22楼 A01室,229,
6,2房,8 年,西北,579.8,万,元朗东南,尚悦 2座 26楼 J室,403,545
7,1房,3 年,北,745,万,启德新区,天寰 天海汇3座 8楼 K室,343,
8,2房,20 年,西南,620,万,元朗站,采叶庭 7座 2楼 E室,460,609
9,2房,8 年,西南,533,万,元朗东南,尚悦 11座 22楼 E室,356,492
10,2房,18 年,西南,590,万,元朗站,YOHO TOWN 1期 2座 5楼 B室,393,527
11,,38 年,,398,万,元朗市中心,益发大厦 3楼 F室,280,396
12,,44 年,,688,万,湾仔,维新大厦 二十一楼 D室,371,461
13,,28 年,北,739.8,万,马鞍山,马鞍山中心 1座 9楼 A室,468,626
14,3房,17 年,西北,"1,130",万,坑口,蔚蓝湾畔 1座 56楼 F室,654,878
15,,57 年,,815,万,坚尼地城,西环新楼 9楼 8室,588,700
16,2房,39 年,东北,728,万,绿杨,绿杨新邨 Q座 8楼 6室,445,519
17,3房,3 年,,"7,084.38",万,启德新区,龙誉 2B座 38楼 A室,"1,663",
18,,39 年,西南,825,万,绿杨,绿杨新邨 J座 5楼 4室,582,667
19,2房,22 年,东南,563,万,粉岭,牵晴间 2座 28楼 D室,384,531
20,,31 年,,526,万,粉岭,粉岭中心 1期 A座 7楼 5室,368,465
21,3房,38 年,西南,840,万,绿杨,绿杨新邨 P座 12楼 8室,582,671
22,,42 年,,175,万,荃湾市中心,荃胜大厦 3楼 F室,277,
23,3房,6 年,,"1,688",万,坚尼地城,浚峰 25楼 C室,658,
24,2房,17 年,,"1,150",万,坚尼地城,泓都 3座 38楼 A室,482,629
25,2房,22 年,,598,万,粉岭,牵晴间 10座 20楼 C室,429,587
26,3房,17 年,,"1,000",万,坚尼地城,绿意居 17楼 A室,535,752
27,1房,40 年,西北,590,万,沙田,沙田中心 安宁大厦 (E座) 18楼 C室,347,452
28,1房,3 年,北,825,万,启德新区,龙誉 1A座 19楼 E室,350,
29,2房,30 年,,922,万,沙田,新城市广场 3期 蕙兰阁 (3座) 21楼 C室,578,683
30,,26 年,,788,万,坚尼地城,翰林轩 2座 12楼 A室,401,529
31,2房,22 年,西南,539.8,万,粉岭,牵晴间 1座 7楼 E室,385,521
32,1房,3 年,东南,800,万,启德新区,嘉汇 8座 9楼 E室,349,
33,,30 年,,768,万,坚尼地城,盈基花园 宝龙阁 (1座) 21楼 C室,377,506
34,,41 年,,525,万,太子,文华阁 十楼 B室,348,480
35,,28 年,,878,万,坚尼地城,海怡花园 3座 32楼 A室,405,539
36,2房,39 年,东南,695,万,沙田,好运中心 棕林阁 (B1座) 12楼 D室,443,562
37,,31 年,,650,万,粉岭,粉岭中心 1期 C座 24楼 7室,513,647
38,,31 年,,507,万,粉岭,粉岭中心 1期 E座 23楼 5室,368,470
39,,31 年,,630,万,粉岭,粉岭中心 1期 F座 20楼 2室,513,658
40,2房,22 年,东北,557,万,粉岭,牵晴间 11座 23楼 H室,388,535
41,2房,20 年,东北,585,万,元朗站,采叶庭 13座 1楼 E室,460,609
42,2房,22 年,,540,万,粉岭,牵晴间 11座 15楼 E室,385,532
43,2房,21 年,东南,675,万,马鞍山,迎涛湾 2座 (B座) 11楼 D室,506,683
44,1房,3 年,东,776,万,启德新区,天寰 天海汇3座 17楼 N室,329,
45,,54 年,,618,万,湾仔,联和大厦 三楼 337号,550,"1,000"
46,4房,5 年,,"2,345",万,元朗站,GRAND YOHO 2期 5座 26楼 C室,"1,185",
47,4房,5 年,,"2,027.32",万,元朗站,GRAND YOHO 2期 5座 11楼 C室,"1,186",
48,2房,24 年,西北,747.7,万,坑口,东港城 8座 31楼 C室,463,588
49,,27 年,,618,万,马鞍山,新港城 4期 K座 16楼 3室,338,464
50,3房,27 年,,"1,720",万,沙田,晓翠山庄 14座 5楼 B室,"1,236","1,429"
51,,28 年,,675,万,元朗站,新元朗中心 3座 21楼 B室,466,576
52,2房,11 年,,850,万,元朗站,YOHO TOWN 2期 YOHO MIDTOWN 9座 29楼 A室,525,676
53,,22 年,西北,720,万,坑口,南丰广场 3座 21楼 E室,457,619
54,3房,11 年,东南,"1,275",万,元朗站,YOHO TOWN 2期 YOHO MIDTOWN 8座 9楼 D室,893,"1,148"
55,2房,5 年,,911.2,万,元朗站,GRAND YOHO 2期 3座 13楼 A室,536,
56,,4 年,,432,万,马鞍山,荟晴 1座 15楼 A02室,227,
57,2房,11 年,东北,818,万,元朗站,YOHO TOWN 2期 YOHO MIDTOWN 9座 27楼 A室,525,676
58,,22 年,西北,720,万,坑口,南丰广场 3座 21楼 H室,466,633
59,,26 年,,651,万,坚尼地城,慧华阁 8楼 C室,344,494
60,1房,3 年,北,808,万,启德新区,嘉汇 9座 25楼 D室,348,
61,2房,18 年,东南,668,万,元朗站,YOHO TOWN 1期 9座 20楼 E室,422,544
62,2房,8 年,西,579,万,元朗东南,尚悦 3座 7楼 B室,440,598
63,3房,22 年,,900,万,粉岭,牵晴间 5座 30楼 A室,906,"1,159"
64,1房,18 年,,530,万,太子,别树华轩 10楼 C室,286,415
65,,28 年,,513.8,万,粉岭,碧湖花园 1座 18楼 G室,400,518
66,,37 年,,638,万,坚尼地城,美菲阁 2座 5楼 D室,353,443
67,,27 年,东北,668,万,马鞍山,新港城 4期 L座 24楼 3室,363,491
68,2房,10 年,,720,万,元朗站,尚豪庭 3座 6楼 A室,519,670
69,2房,11 年,东北,795,万,元朗站,YOHO TOWN 2期 YOHO MIDTOWN 1座 37楼 B室,475,621
70,4房,3 年,,"4,900",万,启德新区,天寰 星寰汇1座,"1,513",
71,2房,38 年,西北,702,万,绿杨,绿杨新邨 E座 18楼 7室,445,511
72,,39 年,西北,782.8,万,绿杨,绿杨新邨 K座 7楼 8室,582,671
73,,48 年,,500,万,荃湾市中心,荃发大厦 2楼 A室,371,
74,1房,44 年,,390,万,柴湾,金源洋楼 A座 15楼 1室,260,351
75,,35 年,,420,万,太子,嘉运阁 5楼 B室,290,417
76,,37 年,东南,398,万,元朗市中心,玉龙楼 17楼 B室,288,395
77,3房,38 年,西南,758,万,绿杨,绿杨新邨 H座 2楼 4室,582,667
78,3房,23 年,东北,829,万,坑口,新宝城 6座 11楼 B室,562,774
79,,27 年,西北,818,万,马鞍山,新港城 4期 H座 17楼 1室,519,697
80,,37 年,东北,410,万,元朗市中心,玉龙楼 18楼 A室,288,395
81,,26 年,,980,万,坚尼地城,翰林轩 2座 8楼 C室,464,627
82,2房,13 年,西南,800,万,大角咀,I-HOME 16楼 A室,519,705
83,4房,5 年,,"2,095.7",万,元朗站,GRAND YOHO 2期 5座 12楼 C室,"1,186",
84,,63 年,,720,万,铜锣湾,华尔大厦 二楼 E室,703,900
85,3房,18 年,西南,990,万,元朗站,YOHO TOWN 1期 6座 26楼 B室,637,821
86,,55 年,,500,万,坚尼地城,同兴楼 四楼 I室,410,
87,,2 年,,400,万,太子,逸新 17楼 B室,182,
88,2房,20 年,东北,590,万,元朗站,采叶庭 16座 2楼 E室,460,609
89,,27 年,东,956.8,万,马鞍山,海柏花园 1座 23楼 A室,582,783
90,2房,8 年,西,510,万,元朗东南,尚悦 7座 1楼 E室,356,498
91,2房,5 年,,938,万,元朗站,GRAND YOHO 2期 3座 16楼 A室,536,
92,3房,38 年,,834,万,绿杨,绿杨新邨 P座 11楼 8室,582,671
93,,2 年,,398.8,万,太子,逸新 20楼 E室,182,
94,1房,40 年,东北,538,万,沙田,沙田中心 海宁大厦 (B座) 6楼 C室,310,385
95,2房,24 年,,835,万,坑口,东港城 6座 35楼 E室,524,666
96,3房,30 年,,"1,569",万,沙田,新城市广场 3期 海桐阁 (1座) 15楼 A室,876,"1,020"
97,,57 年,,"1,858",万,跑马地,翠谷楼 14楼 C室,847,"1,200"
98,,24 年,西南,730,万,马鞍山,雅涛居 1座 40楼 E室,501,711
99,2房,10 年,,655,万,元朗站,尚豪庭 1座 5楼 A室,515,670
100,2房,34 年,东北,538,万,荃湾市中心,荃昌中心 昌宁大厦 11楼 C室,316,403
101,2房,39 年,,692,万,沙田,好运中心 松林阁 (A1座) 20楼 C室,443,571
102,,43 年,,650,万,铜锣湾,骆克大厦 A座 3楼 A3室,447,536
103,,24 年,西南,668,万,元朗东南,朗晴居 15座 8楼 C室,600,726
104,3房,11 年,南,935,万,元朗站,YOHO TOWN 2期 YOHO MIDTOWN 2座 7楼 C室,606,792
105,,51 年,,470,万,深水埗,长兴楼 十二楼 A室,483,
