,rooms,age,direction,priceNum,priceLbl,area,location,gfa,cfa
0,,1 年,西北,"1,613.98",万,启德新区,尚‧珒溋 1座 7楼 D室,658,
1,2房,24 年,,730,万,坑口,东港城 7座 25楼 C室,463,588
2,,27 年,,"1,068",万,马鞍山,雅典居 3座 19楼 D室,727,901
3,,5 年,,863.48,万,元朗站,GRAND YOHO 2期 3座 9楼 G室,538,
4,1房,36 年,,488,万,沙田,希尔顿中心 C座 十五楼 5室,274,437
5,2房,24 年,,726,万,愉景新城,愉景新城 3期 12座 18楼 B室,477,593
6,3房,38 年,西北,835,万,绿杨,绿杨新邨 C座 30楼 8室,582,671
7,,22 年,东南,715,万,坑口,南丰广场 6座 12楼 H室,454,620
8,,28 年,东南,585,万,马鞍山,新港城 3期 R座 25楼 6室,337,449
9,,66 年,,706,万,太子,花园街224号 三楼 224号,778,
10,,22 年,,823,万,坑口,南丰广场 3座 13楼 B室,606,809
11,2房,20 年,,616.8,万,元朗站,采叶庭 7座 7楼 H室,460,609
12,2房,35 年,西北,558,万,荃湾市中心,荃丰中心 19楼 B室,336,447
13,,32 年,,"1,100",万,西半山,学士台 3座 二十五楼 G室,649,772
14,,49 年,,838,万,坚尼地城,五福大厦 B座 19楼 2室,525,
15,2房,20 年,西北,623,万,元朗站,采叶庭 11座 2楼 F室,509,673
16,2房,22 年,,500,万,粉岭,牵晴间 10座 12楼 H室,386,535
17,1房,3 年,,670,万,启德新区,天寰 天海汇3座 20楼 N室,329,
18,2房,8 年,西南,568,万,元朗东南,尚悦 5座 10楼 B室,403,547
19,2房,17 年,,750,万,坑口,蔚蓝湾畔 2座 15楼 F室,488,657
20,2房,13 年,东,831.6,万,太子,百汇轩 9楼 B室,468,670
21,2房,8 年,北,545,万,元朗东南,尚悦 12座 5楼 K室,411,560
22,,28 年,北,618,万,马鞍山,新港城 3期 Q座 23楼 5室,361,486
23,2房,43 年,,540,万,柴湾,柴湾戏院大厦 22楼 F室,408,510
24,,28 年,,540,万,马鞍山,马鞍山中心 2座 20楼 B室,364,492
25,,28 年,,790,万,坚尼地城,海怡花园 3座 31楼 D室,386,515
26,,44 年,,370,万,太子,昌基楼 四楼 C室,375,
27,2房,8 年,南,546.8,万,元朗东南,尚悦 5座 11楼 K室,414,565
28,,28 年,西,602.8,万,马鞍山,新港城 3期 Q座 19楼 7室,337,451
29,,22 年,东南,697.8,万,坑口,南丰广场 6座 10楼 H室,454,620
30,3房,20 年,西南,800,万,元朗站,采叶庭 7座 11楼 F室,658,868
31,2房,24 年,,698,万,坑口,东港城 3座 22楼 H室,524,666
32,,28 年,,600,万,马鞍山,新港城 3期 N座 14楼 6室,337,446
33,,47 年,,475,万,荃湾市中心,安富大厦 十四楼 C室,363,444
34,,51 年,,550,万,荃湾市中心,二陂坊8A号 三楼 D室(4室),614,
35,,31 年,,683.8,万,粉岭,粉岭中心 1期 A座 27楼 2室,535,685
36,2房,35 年,西北,537,万,沙田,伟华中心 1座 9楼 H室,297,404
37,1房,39 年,东北,560,万,沙田,好运中心 柏林阁 (C2座) 8楼 G室,326,418
38,2房,14 年,,860,万,湾仔,骏逸峰 16楼 D室,422,649
39,4房,33 年,,"3,600",万,跑马地,比华利山 A座 15楼 2室,"1,432","1,725"
40,,23 年,西南,668,万,元朗市中心,雍翠豪园 1座 43楼 B室,491,669
41,,4 年,,399,万,马鞍山,荟朗 1座 20楼 B01室,229,
42,,43 年,,565,万,坚尼地城,华宝大厦 11楼 E室,311,470
43,,1 年,,"2,472.7",万,启德新区,尚‧珒溋 1座 23楼 B室,853,
44,,56 年,,500,万,太子,通菜街182号 二楼 182号,686,
45,3房,14 年,东北,971.8,万,大角咀,柏丰28 29楼 C室,574,761
46,2房,8 年,东南,570,万,元朗东南,尚悦 8座 6楼 H室,443,603
47,3房,11 年,东南,"1,000",万,元朗站,YOHO TOWN 2期 YOHO MIDTOWN 1座 35楼 C室,607,793
48,,24 年,,862,万,元朗东南,朗晴居 11座 3楼 F室,744,884
49,2房,20 年,东南,638,万,元朗站,采叶庭 6座 6楼 B室,509,674
50,,44 年,,275,万,深水埗,福昇大厦 11楼 F室,184,231
51,2房,3 年,,"1,118",万,启德新区,龙誉 1A座 5楼 F室,521,
52,1房,4 年,西北,785,万,启德新区,启德1号 I 大厦第2座 8楼 D室,368,
53,3房,17 年,东北,908,万,坑口,蔚蓝湾畔 2座 6楼 D室,651,877
54,2房,17 年,,758,万,坑口,蔚蓝湾畔 5座 5楼 B室,488,657
55,2房,3 年,东,"1,000",万,启德新区,天寰 天海汇3座 5楼 M室,466,
56,,42 年,,605,万,湾仔,帝城大厦 9楼 A室,394,521
57,3房,16 年,,"1,800",万,坚尼地城,怡峰 35楼 A室,818,"1,090"
58,,23 年,南,828,万,马鞍山,海典居 5座 17楼 E室,558,713
59,,51 年,,380,万,太子,新填地街612号 三楼 612号,429,
60,,1 年,,"1,567.65",万,启德新区,尚‧珒溋 2座 31楼 L室,585,
61,,55 年,,880,万,铜锣湾,泰港大厦 十二楼 C室,684,
62,,29 年,东南,800,万,马鞍山,新港城 1期 B座 15楼 8室,568,687
63,,49 年,,429,万,荃湾市中心,德仁楼 15期 二楼 B室,428,
64,,24 年,,680,万,马鞍山,雅涛居 2座 19楼 F室,482,670
65,,3 年,南,"4,070",万,启德新区,龙誉 2B座 36楼 A室,"1,010",
66,,50 年,,320,万,深水埗,福华街9号 三楼 後座(B室),300,
67,2房,8 年,,575,万,元朗东南,尚悦 6座 19楼 G室,440,595
68,,4 年,,398,万,马鞍山,荟朗 2座 10楼 B01室,229,
69,3房,38 年,东南,738,万,绿杨,绿杨新邨 C座 1楼 4室,582,667
70,,24 年,东北,725,万,元朗东南,朗晴居 6座 3楼 B室,756,901
71,,3 年,,"4,680",万,启德新区,OASIS KAI TAK 低座A座,"1,359",
72,2房,5 年,西北,938.8,万,元朗站,GRAND YOHO 2期 8座 41楼 D室,532,
73,,28 年,,560,万,马鞍山,新港城 3期 N座 6楼 2室,337,446
74,,26 年,,815,万,坚尼地城,慧华阁 7楼 D室,453,646
75,1房,3 年,南,777,万,启德新区,天寰 天海汇3座 20楼 D室,343,
76,2房,24 年,,680,万,愉景新城,愉景新城 3期 9座 26楼 C室,477,593
77,2房,25 年,西北,703.8,万,愉景新城,愉景新城 1期 1座 19楼 B室,474,593
78,2房,8 年,,558,万,元朗东南,尚悦 1座 5楼 G室,425,575
79,2房,24 年,,728,万,坑口,东港城 7座 42楼 G室,463,595
80,3房,38 年,东北,690,万,绿杨,绿杨新邨 E座 5楼 1室,582,671
81,2房,27 年,西南,653.8,万,马鞍山,海柏花园 6座 21楼 D室,438,578
82,3房,3 年,东南,"1,780",万,启德新区,嘉汇 8座 26楼 D室,797,
83,1房,4 年,东南,799,万,启德新区,启德1号 I 大厦第2座 7楼 H室,376,
84,1房,3 年,南,750,万,启德新区,嘉汇 1座 2楼 F室,372,
85,,36 年,,460,万,元朗市中心,好顺景大厦 1座 (A座) 12楼 H室(8号室),358,510
86,,44 年,,720,万,铜锣湾,乐声大厦 B座 二十二楼 7室,390,475
87,2房,39 年,西北,750,万,绿杨,绿杨新邨 Q座 25楼 3室,451,527
88,2房,36 年,,587.5,万,坚尼地城,嘉辉花园 A座 三十一楼 3室,282,377
89,2房,13 年,,570,万,太子,富威阁 27楼 B室,324,498
90,4房,11 年,东,"1,200",万,元朗站,YOHO TOWN 2期 YOHO MIDTOWN 7座 37楼 E室,938,"1,222"
91,,41 年,,525,万,太子,文华阁 十楼 B室,348,480
92,2房,11 年,北,700,万,元朗站,YOHO TOWN 2期 YOHO MIDTOWN 3座 12楼 A室,443,573
93,,24 年,东南,745,万,元朗东南,朗晴居 5座 7楼 D室,739,882
94,2房,21 年,,716,万,马鞍山,迎涛湾 2座 (B座) 38楼 F室,487,664
95,,29 年,,785,万,坚尼地城,海怡花园 2座 35楼 3室,378,532
96,2房,21 年,西北,958,万,坚尼地城,加惠台 2座 10楼 C室,464,589
97,,27 年,东北,661.8,万,马鞍山,新港城 4期 F座 41楼 6室,363,496
98,3房,36 年,东北,673,万,沙田,希尔顿中心 B座 一楼 1室,475,757
99,,30 年,,580,万,粉岭,粉岭中心 2期 L座 26楼 3室,510,658
100,,57 年,,600,万,铜锣湾,钻石大楼 七楼 466号,545,
101,2房,20 年,西北,580,万,元朗站,采叶庭 15座 15楼 D室,460,609
102,,4 年,,419.8,万,马鞍山,荟朗 2座 12楼 A02室,221,
103,3房,4 年,,"1,700",万,启德新区,启德1号 I 大厦第1座 29楼 A室,818,
104,,27 年,北,925,万,马鞍山,雅典居 10座 23楼 A室,775,943
105,,24 年,东北,625,万,马鞍山,雅景台 4座 11楼 F室,475,638
106,,28 年,东北,665,万,元朗站,新元朗中心 4座 23楼 C室,466,576
107,,36 年,西北,453,万,元朗市中心,好顺景大厦 1座 (A座) 21楼 H室(8号室),358,510
108,2房,20 年,,490,万,元朗站,采叶庭 3座 9楼 H室,460,609
109,,28 年,西,620,万,粉岭,碧湖花园 7座 7楼 G室,488,630
110,2房,8 年,西南,585,万,元朗东南,尚悦 8座 12楼 C室,443,603
111,,54 年,,710,万,铜锣湾,骆克道470-472号 9楼 472号,602,
112,,33 年,,502.5,万,湾仔,特丽楼 8楼 B室,271,390
113,3房,30 年,,"1,018",万,沙田,新城市广场 3期 红棉阁 (5座) 20楼 A室,640,753
114,2房,18 年,东北,658,万,元朗站,YOHO TOWN 1期 3座 35楼 B室,393,525
115,1房,40 年,,475,万,柴湾,永利中心 B座 二十一楼 B8室,264,371
116,2房,21 年,,975,万,坚尼地城,加惠台 1座 23楼 C室,464,589
117,2房,18 年,,675,万,元朗站,YOHO TOWN 1期 3座 16楼 E室,433,580
118,2房,6 年,,"1,280",万,坚尼地城,浚峰 42楼 D室,464,
119,2房,23 年,西北,660,万,坑口,新宝城 1座 41楼 C室,377,527
120,2房,11 年,,777,万,元朗站,YOHO TOWN 2期 YOHO MIDTOWN 3座 22楼 G室,475,621
121,2房,18 年,东北,648,万,元朗站,YOHO TOWN 1期 8座 13楼 D室,422,544
122,4房,11 年,,"1,405",万,元朗站,YOHO TOWN 2期 YOHO MIDTOWN 6座 50楼 E室,"1,045","1,337"
123,,26 年,,810,万,坚尼地城,翰林轩 1座 35楼 A室,401,529
